full_text,capres
"@hansssolo Pendukungnya Prab milih Prab Pendukungnya Anies milih Anies Pendukungnya Ganjar milih Ganjar  Di setiap pendukung ada orang cerdas dan bodoh.  Ada yang suka parkir sembarangan, buang sampah sembarangan, merokok sambil menyetir.  Dan lain-lain. Gausah pusinglah 🤣",anies
@BungkusTukang Insha Allah Anies Baswedan jawabannya,anies
Jika Ganjar kalah putaran 1 maka aku pastikan suaraku lari ke Anies daripada menormalisasi perlaku pembegalan demokrasi.,anies
@ch_chotimah2 @ganjarpranowo @mohmahfudmd omong2 kemarin kan Pak Anies dan Ganjar sudah diundang datang sama mahasiswa UI kok saya blm dengar pak Prabowo ke sana ya?,anies
Anies Baswedan Siap Hadiri Undangan Dialog Publik PP Muhammdiyah https://t.co/vHDFEBQHFu,anies
"Semoga para aparat kita setia pada rakyat, bukan pada penguasa 😊👇",anies
@VIVAcoid Justru Krn Nahdliyyin cerdas ga akan pilih yg bocil.. ANIES ANIESBASWEDAN MUHAIMIN TERBAIKKK,anies
"Anies upgrade program jadi kjp plus yang mana dananya tambah juga. Lahh ini heru? Malah dipersulit+serba molor? Kalo gabisa nambahin or upgrade kebijakan, seenggaknya jgn mengurangi atau memotong anggaran dong",anies
"@HusinShihab Kubu siapakah yg mengintimidasi, tentunya kubu yg punya kuasa,dia adalah penguasa,dikubu mana berdirinya sang penguasa ? Pastinya bukan di kubu Anies, karena Anies bukan penguasa, silahkan rakyat menilai sendiri 🤭🤭🤭",anies
"@MinmonPS7 😊🫡🫡 beda,,,, sependek pengetahuan dan penglihatan kami..,Anies jauh lebih amanah dan janji politik nya cukup realistis. Itu yg kita lihat selama ini.. #AMINAjaDulu .. 😊🙏🏼🙏🏼",anies
@MhdBambaNgPragO @ch_chotimah2 @PDI_Perjuangan @jokowi @gibran_tweet @bobbynasution_ @psi_id @MataNajwa @NajwaShihab @ILCTalkshow @karniilyas @akbarfaizal68 @AbrahamSamadd @BurhanMuhtadi @yunartowijaya @saiful_mujani @KompasTV @tvOneNews @Metro_TV @kompascom @tempodotco @VIVAcoid @CNNIndonesia @detikcom @prabowo ya kan skrng yg jd penjahatnya ganjar+anies yg mabok syariah pingin nkri bersyariah  yg jd pahlawan prabowo mknya nolak gugat keputusan pemilu dan bikin nkri chaos seperti keinginan kaum 212  biasa penjahat jd pahlawan pahlawan jd penjahat yg penting hrs ttp kritis biar g ketipu,anies
@GibranRakabumi Klo pemilu jurdil insya allah menang.. 1 putaran.. Anies lebih bekualitas internasional.... Sudah terbukti di jakarta.. Sekolah negeri gratis di kasih kjp lgi. https://t.co/kuH87QM4mu,anies
Untuk survei objektif yg gak punya kepentingan.. lihat survei LN oleh lembaga survei Australia dan Perancis. Anies Muhaimin 2024 AMINAjadulu AminkanIndonesia Aminpalingsiap2024  https://t.co/T9XXV9Gpl0,anies
Buzzer anies lg kejar target biar gajian. 🤣 Kasian bener.,anies
"@liputan6dotcom KEBANYAKAN  YG  KOMEN TELAH DITIPU JOKOWI 2 PERIODE MAKANYA KAGET.kelamaan dijajah jokowi lu pada pdhl jk dikelola bener ini negara kaya dan rakyat makmur. knp kredit kendaraan dimudahin kalo kredit rumah dipersulit karena lu pd bego,anies pengen rakyat kredit rumah dipermudah!",anies
"@NOTASLIMBOY Deja Vu jaman pilkada nih, Anies tertinggal mulu kalo di survei2. Ngebantainya di bilik suara pas hari h. 💀",anies
@liputan6dotcom Masih percaya anies .? https://t.co/qYU1jpeBS2,anies
"@RaniKancana Awas hati  hampir disalip Anies jagoan nya awokwokkkkkkj""",anies
@DoankWarto Buzzer ini dibayar Hy untuk nyerang Anies Baswedan...,anies
Bakal ada kejutan SUPER JUMBO buat pasangan ANIES IMIN,anies
Pesiunan jenderal TNI bongkar sifat Anies https://t.co/GO9N34DuMo,anies
"@al_mystar99 @tanyakanrl Maka dari itu jangan sampe anies jadi presiden, nanti kayak mereka",anies
"@PDemokrat Petinggi Demokrat pada tau gak ya,  klo kader2 akar rumputnya pada butuh perubahan dan keukeuh tetep dukung Anies?",anies
"@usernamecakep Benar! Sekali pak Anies, ini yg gak dilakukan sama peemerintahan sekarang, apalagi Kemanaker dan Kemendikbud mereka semua di kepalanya cuma mikir gimana caranya korup 😏",anies
Kepemimpinan Pak Anies yang efisien dalam menjalankan pemerintahan adalah contoh yang patut diikuti oleh seluruh negeri. 🏛️👏 #AniesSigap,anies
Pak Anies adalah pemimpin yang memiliki visi besar untuk Indonesia. Dia siap membawa kita ke tingkat yang lebih tinggi. 🌟🚀 #AniesSigap,anies
Anies Baswedan adalah pemimpin yang inovatif dan kreatif dalam mencari solusi untuk masalah kompleks. Itulah yang kita butuhkan! 💡🔄 #AniesSigap,anies
"@bianca01403 @TrioKw3kkw3k__ Insya Allah, AMIN Anies-Muhaimin MENANG SATU PUTARAN Semoga mencapai 60-70% suara rakyat Indonesia 🇮🇩 Ayo kita AMIN kan Indonesia 🇮🇩",anies
"Pak Anies adalah tokoh yang menginspirasi banyak orang, termasuk saya. Dia adalah pemimpin masa depan yang kita butuhkan. 🌠🙏 #AniesSigap",anies
Kami mendukung Pak Anies untuk menjadi Presiden Indonesia 2024! Dia adalah pemimpin yang sigap dan berkomitmen pada perubahan positif. 🇲🇨❤️ #AniesSigap,anies
"@CNNIndonesia sangat sangat mendukung ide pak anies, keren pak",anies
"Jakarta aja di ACAK-ACAK, gimana lagi Indonesia? TOLAK capres abal² Anies-Imin",anies
"Elektabilitas Turun, @aniesbaswedan Malah Mainkan Tata Kata Berantakan. Berarti Anies Makhluk Ciptaan Lucifer.   #BapakPolitikIdentitas  #AniesPengecut",anies
Kepedulian Pak Anies terhadap warga ibu kota adalah luar biasa. Itu adalah sifat yang kita butuhkan di pemimpin nasional. 🌆🤝 #AniesSigap,anies
@fefeniaku @SamSoegi Tenang ntar semua akan dimudahkan oleh Anies mbak bhuehuehue,anies
